ExtIdentifier,SampleId,SampleDescription,SampleType,TimePoint,SampleGroup,SiteId,HybControlNormScale,NormScale.1,NormScale.0.05,NormScale.30,RowCheck
EXID40000000141176,2994536,EDTA Plasma,Sample,TimePoint 1A,E23,NA,1.012,1.293,1.046,1.472,PASS
EXID40000000141168,2994518,EDTA Plasma,Sample,TimePoint 5,E23,NA,0.975,0.942,0.975,0.993,PASS
EXID40000000141160,2967075,EDTA Plasma,Sample,TimePoint 5,E30,NA,0.961,0.86,0.974,0.5,PASS
EXID40000000140344,2994523,EDTA Plasma,Sample,TimePoint 3,E23,NA,1.03,0.738,0.879,0.676,PASS
EXID40000000141175,2994545,EDTA Plasma,Sample,TimePoint 1A,E23,NA,0.984,1.228,1.101,1.422,PASS
EXID40000000141159,2994522,EDTA Plasma,Sample,TimePoint 2,E23,NA,1.001,0.834,0.843,0.733,PASS
EXID40000000141151,2994530,EDTA Plasma,Sample,TimePoint 2,E23,NA,1.018,0.479,0.723,0.315,FLAG
EXID40000000140343,2994531,EDTA Plasma,Sample,TimePoint 3,E23,NA,1,0.834,0.898,0.778,PASS
EXID40000000141174,2994527,EDTA Plasma,Sample,TimePoint 1A,E23,NA,0.951,1.23,1.011,1.343,PASS
EXID40000000141166,2994526,EDTA Plasma,Sample,TimePoint 5,E23,NA,0.943,0.918,0.915,0.877,PASS
EXID40000000141158,2994533,EDTA Plasma,Sample,TimePoint 3A,E23,NA,0.974,0.981,0.944,1.001,PASS
EXID40000000140342,2966982,EDTA Plasma,Sample,TimePoint 5,E30,NA,1.077,1.004,0.998,1.055,PASS
EXID40000000141165,2994514,EDTA Plasma,Sample,TimePoint 2,E23,NA,0.739,1.515,1.802,1.028,PASS
EXID40000000141157,2994524,EDTA Plasma,Sample,TimePoint 3A,E23,NA,0.951,1.076,1.054,1.19,PASS
EXID40000000140349,2927627,EDTA Plasma,Sample,TimePoint 1,E30,NA,1.047,1.255,1.184,1.424,PASS
EXID40000000140341,2994511,EDTA Plasma,Sample,TimePoint 1A,E23,NA,1.064,1.249,1.079,1.494,PASS
EXID40000000141172,2994519,EDTA Plasma,Sample,TimePoint 1A,E23,NA,0.993,1.029,0.994,1.326,PASS
EXID40000000141164,2994543,EDTA Plasma,Sample,TimePoint 5,E23,NA,1.008,0.993,0.998,0.989,PASS
EXID40000000140348,2994503,EDTA Plasma,Sample,TimePoint 1A,E23,NA,1.045,1.105,1.008,1.26,PASS
EXID40000000141171,2994532,EDTA Plasma,Sample,TimePoint 5,E23,NA,0.954,0.904,0.886,0.902,PASS
EXID40000000141155,2994516,EDTA Plasma,Sample,TimePoint 3A,E23,NA,0.905,1.172,1.105,1.318,PASS
EXID40000000140347,2998761,EDTA Plasma,Sample,Necropsy,E30,NA,1.032,0.706,0.98,0.655,PASS
EXID40000000140339,2994539,EDTA Plasma,Sample,TimePoint 2,E23,NA,1.053,0.617,0.976,0.44,PASS
EXID40000000141170,2994541,EDTA Plasma,Sample,TimePoint 3A,E23,NA,0.935,1.06,1.025,1.126,PASS
EXID40000000141162,2994506,EDTA Plasma,Sample,TimePoint 2,E23,NA,0.916,0.753,0.874,0.638,PASS
EXID40000000141154,2994508,EDTA Plasma,Sample,TimePoint 3A,E23,NA,0.925,1.173,1.052,1.334,PASS
EXID40000000140346,2927550,EDTA Plasma,Sample,TimePoint 1,E30,NA,1.011,1.233,1.116,1.128,PASS
EXID40000000140338,2994548,EDTA Plasma,Sample,TimePoint 2,E23,NA,1.01,0.879,0.951,0.755,PASS
EXID40000000141161,2994509,EDTA Plasma,Sample,TimePoint 5,E23,NA,0.925,1.042,1.018,1.147,PASS
EXID40000000140345,2999110,EDTA Plasma,Sample,Necropsy,E30,NA,1.037,0.82,1.018,0.517,PASS
